lugar,lat,lon,tipo,frecuencia,frecuencia_no_editorial,contextos,personas_asociadas
Liceo de Valencia,39.4699,-0.3763,sala,3,3,"MAESTRO DIRECTOR DEL LICEO VALENCIANO: | Para este año no tenemos compañia de ópera, lo cual han sentido mucho los aficio | Se asegura tambien que el maestro Don José Valero, dará muy pronto una segunda p",Don José Valero; LICEO VALENCIANO
Capilla Real (Madrid),40.4182,-3.7145,sala,3,3,"*.* El jueves de la Ascension se egecutarán en la Capilla real los salmos 1.º y  | Capilla Real. | Página 69. Crítica musical.-Misa de Requiem de Mozart.-Concierto Matinal, por M.",D. Ramon Gimeno; I. S. F; Ledesma; M. Soriano Fuertes; Nicola
Bilbao,43.2630018,-2.9350039,ciudad,3,3,"Con sumo placer insertamos la siguiente carta del Sr. D. Nicolás Ledesma, profes | BILBAO 22 de abril de 1842. | Este jóven de grandes esperanzas para el arte, que murió antes de tiempo como pa",D. Nicolás Ledesma
Academia Filarmónica Matritense (Madrid),40.4168,-3.7035,sala,3,3,"Nueva era de vida empero ha brillado en el siglo diez y nueve para esta nacion.  | Mientras esto se verifica, es nuestro deber á fuer de artistas, dar un voto de g | Ventajas que de él puede reportar el arte.-Rubini (continuacion.)-Aventuras de A",G. R. L; Junta gubernativa del Liceo; Martin; Mozart
Ópera de París,48.8719,2.3316,sala,3,2,"Viardot, unido al precio subido que exigia por su ajuste, son puntos que todavia | García escribió para el teatro de la Grande Opera Le grand Lama y L' Origine des | Le Prince d' occasion, en tres actos, representada en el teatro de la ópera-cómi",Dorus - Gras; Flores; García; Mr. de Jony; Stolz; marqués de Pastoret
Nueva York,40.7127281,-74.0060152,ciudad,3,3,"La educacion vocal de su hija la ilustre y diva María Malibran de Beriot, se per | La compañía de ópera que se proponia hacer oir en la América septentrional, se c | El resultado de su empresa fué tal, que embriagado Garcia con sus triunfos, y mu",Angrisani; Barbiery; Crivelli; Garcia; García; Manuel García; Maria; María Malibran de Beriot; de Rosich
Innsbruck,47.2654296,11.3927685,ciudad,2,2,EL ARTE MUSICAL acaba de esperimentar una pérdida bastante sensible en la person | Las autoridades de INSPRUK el Clero y la parte mas brillante y acomodada de la p,ANTONIO MORLACHI; FRANCISC; FRANCISCO MORLACHI; MORLACH
Sajonia,51.0,13.5,region,2,2,"el rey de Sajonia. Hallándose por este tiempo vacante la plaza de maestro de cap | Scribe, música del maestro Aleber. *.* Mr. Lewy, primer trompa de la capilla rea",Aleber. *; Duque de Orleans; Fioravanti ;; S. A. R; Scribe
San Felipe el Real (Madrid),40.4159,-3.7073,sala,2,2,"En efecto, al despertar Rossini de su letargo, compusso su stabat mater, y lo de | 58 LA IBERIA MUSICAL. --diar el género serio del arte, retocando en parte el Sta",Rossini; de Varela
Accademia di Santa Cecilia (Roma),41.9,12.4797,sala,2,2,—El primero de noviembre último la academia de música de Roma conocida hace 258  | Antonio Poggi ha recibido las mas altas distinciones que nosotros podemos citar ,Antonio Poggi; M. Fetis
Chipre,34.9823018,33.1451285,pais,2,2,"PARIS. La reina de Chipre, que obtuvo en su representacion un éxito brillante se | La reina de Chipre será una buena adquisicion para el repertorio de los teatros ",
Edimburgo,55.9533456,-3.1883749,ciudad,2,2,— El señor Unanue cantó los duos de la NORMA y de la LUCIA con un brio estraordi | ZARAGOZA. Liceo artístico y literario.—En la noche del sábado 23 del pasado abri,Ledesma; Maria Stuard; Perez; Salas; Unanue; Yoldi
Grecia,38.9953683,21.9877132,pais,2,2,"18 LA IBERIA MUSICAL. --de la armonia; y segunda, en que era tal la perfeccion y | LA IBERIA MUSICAL. 131 --El libretto de la Saffo, es uno de los mejores y mas bi",Pitágoras; Platon; Saffo
Bonn,50.7352621,7.1024635,ciudad,2,2,"En 1801 la ópera francesa reemplazó á la italiana, y Martin perdió su empleo de  | 2.º La Caprichosa corretta, idem, ibid. 3.º Gli Sposi in contrasto, idem, Wiena,",Breitkopf; Hœrtel; Martin
Leipzig,51.3406321,12.3747329,ciudad,2,2,"2.º La Caprichosa corretta, idem, ibid. 3.º Gli Sposi in contrasto, idem, Wiena, | Los progresos rápidos del jóven Meyerbeer fueron tan raros, como lo era su talen",Breitkopf; Hœrtel; Meyerbeer
Toledo,39.8558913,-4.024265,ciudad,2,2,"En prueba de que la música tanto profana, como eclesiástica se cultivaba como ci | Alonso el sabio, no tan solamente fue gran jurisconsulto, geómetra y astrónomo, ",Alonso décimo
El Escorial,40.5836411,-4.1281427,ciudad,2,2,"Alonso el sabio, no tan solamente fue gran jurisconsulto, geómetra y astrónomo,  | (1) Hist. del Ghiranda en el año 1288. --El reinado de Felipe II protegió en gra",Felipe II
Marsella,43.2963986,5.3777888,ciudad,2,2,"*.* * En la villa de Paris se cuentan en el dia treinta y una salas de espectácu | *** La indisposicion de Tamburini, no ha sido de cuidado; este célebre cantor pa",Elsser; Luisa Fohnson; Mr. Mabile; Señoras; Tamburini; Th. Gautier
Escocia,56.7861112,-4.1140518,region,2,2,"Benedict, que ha ejecutado con la originalidad y perfec-cion que le son familiar | Jacobo recorria la Italia y las montañas de Suiza y de Escocia tratando mas bien",Benedict; Mr. Lariviere
Liverpool,53.3933411,-2.9166389,ciudad,2,2,"Hace algun tiempo que los periódicos ingleses no ce-san de alabar al célebre gui | La educacion vocal de su hija la ilustre y diva María Malibran de Beriot, se per",María Malibran de Beriot; SZCZEPANOWSKI
Zaragoza,41.6915847,-0.9101268,ciudad,2,2,"Nombrado teniente capitan en los terc os de Teruel, defendió con valor la memora | Martin goza de buena y completa salud habiendo salido hace muy pocos dias para C",Martin; Rocca
Palacio Real (Madrid),40.4179,-3.7143,sala,2,2,"La junta de gefes de Palacio al clasificarle no le miró como un primer artista,  | (1) Hist. del Ghiranda en el año 1288. --El reinado de Felipe II protegió en gra",Felipe II
Suiza,46.7985624,8.2319736,pais,2,2,"Jacobo recorria la Italia y las montañas de Suiza y de Escocia tratando mas bien | Este genio musical por escelencia, este hombre dotado de una imaginacion viva y ",Gesler
El Retiro (Madrid),40.4153,-3.6844,ciudad,2,2,En la tarde del viernes de Dolores 18 de marzo se cantó en la iglesia capilla de | En el de Felipe IV empezó nueva vida para la música con los conciertos dados en ,Carlos II; D. Baltasar Saldoni; Felipe IV; Juan de la Usada; Pedro Rodriguez
Her Majesty's Theatre (Londres),51.5071,-0.1336,sala,2,2,En 11 de junio de 1841 volvió á Londres cantando en el teatro de la reina la ópe | Hoy dia la Poggi-Frezzolini canta en el teatro de la Reina de Londres con su esp,Antonio Poggi; Frezzolin; Paulina
Bohemia,50.0,14.5,region,2,2,"--de 1791, por encargo especial de un estrangero, cuyo nombre aun no se ha podid | Varios instrumentos esparcidos por uno y otro lado, y algunos papeles de música ",Leopoldo; Metastasio; Mozart
Carmelitas Calzados (Madrid),40.4165,-3.705,sala,2,2,"Una contienda por el estilo tuvo lugar entre --varios sujetos en la mañana del j | Página 69. Crítica musical.-Misa de Requiem de Mozart.-Concierto Matinal, por M.",Espin; Gimeno; I. S. F; M. Soriano Fuertes; Nicola
Théâtre Ventadour (París),48.8686,2.341,sala,2,2,"Apesar de que los coristas alemanes de los teatros Favart y Ventadour, nos hayan | Despues de ocho años de vanas tentativas, los votos de Gomis fueron por fin escu",
Praga,50.0874654,14.4212535,ciudad,2,2,"El efecto producido por la reunion de estos grandes artistas, fue muy distinto d | —La jóven pianista Sofia Bohrer, ha obtenido una acogida brillante en el concier",Donizetti; Liszt; Rossini; Sofia Bohrer
Prusia,52.5,20.0,region,2,2,"122 LA IBERIA MUSICAL. --de haber hecho propósito de no enseñar á nadie, dió lec | el rey de Prusia, miembro de la academia de bellas artes de Berlin, socio estran",Leopol; Meyerbeer
Liceo de Granada,37.1773,-3.5997,sala,2,1,"Sesion estraordinaria del Liceo de Granada, verificada la noche del 28 de julio, | Deseoso el Liceo de Granada de manifestar el alto aprecio que le merecian los re",Doña Paulina García
Basílica de San Pedro (Vaticano),41.9022,12.4534,sala,1,1,el rey de Sajonia. Hallándose por este tiempo vacante la plaza de maestro de cap,Fioravanti ;
Dresde,51.0493286,13.7381437,ciudad,1,1,"Sus largos servicios en la córte de Dresde, le dieron derecho á una pension de r",
Montpellier,43.6112422,3.8767337,ciudad,1,1,*.* En el teatro italiano continuase dando con mucha aceptacion Il Barbieri di S,Bellini; Federico Lablache; Lablache; Mario; Morelli; Mr. Dormoy; Mr. Troupenas
Vilna,54.6870458,25.2829111,ciudad,1,1,"Meyerveer, Mendelesohn y Rellstale, estaban alli reunidos saludando al gran viol",Ernest; Kaczinsky
Teatro della Canobbiana (Milán),45.4641,9.1873,sala,1,1,"Cuando la señora Marietta Albini dejó la Es- --paña, se presentó en Milan con la",Albertazzi; Badiali; Marietta Albini; Vergé; Vicenzo
Palacio de Villahermosa (Madrid),40.4153,-3.696,sala,1,1,* * * Grandes preparativos se hacen este año para la próxima inauguracion de los,
San Luis (Madrid),40.4157,-3.7047,sala,1,1,Hemos visto con el mayor dolor pedir una limosna en la puerta de la iglesia de S,D. Modesto Berbén
Teatro Regio (Turín),45.0706,7.688,sala,1,1,"TURIN. *Teatro Regio.* — *I Puritani* alborotó, fueron aplaudidísimos en esta óp",Fornasari; Moriani; Tadolini
Suecia,59.6749712,14.5208584,pais,1,1,"Este tomo es sumamente interesante, porque todas las marchas que encierra en sí,",Alberto; Federico Guillermo III; Federico de Prusia; Federico el grande; Guillermo de Prusia
Noruega,61.1529386,8.7876653,pais,1,1,"Este tomo es sumamente interesante, porque todas las marchas que encierra en sí,",Alberto; Federico Guillermo III; Federico de Prusia; Federico el grande; Guillermo de Prusia
Andalucía,37.3399964,-4.5811614,region,1,1,"La España segun el historiador D. Juan Francisco Masdeu, fué el último pais de l",D. Juan Francisco Masdeu; Estrabon; Tiberio
Burgos,42.3448498,-3.6812477,ciudad,1,1,"Cada vez fué tomando mas incremento en España la música y poesía, y en prueba de",D. Alonso VII
Cercle Philharmonique (Bruselas),50.8476,4.3572,sala,1,1,Durante su corta permanencia en esta ciudad ha recibido del señor presidente del,Rubini
Bayona (Francia),43.4945144,-1.4736657,ciudad,1,1,Durante su corta permanencia en esta ciudad ha recibido del señor presidente del,Rubini
Catedral de Notre-Dame (París),48.853,2.3499,sala,1,1,*.* * El majisterio de la Catedral de Paris acaba de ser organizado sobre las nu,Arzobispo
Arezzo,43.5171442,11.7639282,ciudad,1,0,El ilustre congreso académico de ciencias y artes en Arezzo nombró al célebre ma,D. Juan Pacini; Juan Pacini
Luxemburgo,49.8158683,6.1296751,ciudad,1,1,Alejandro Batta con la órden de la Courone-deChêne y de Luxemburgo. Alejandro Ba,Alejandro Batta; S. M.
Castilla,41.5,-3.5,region,1,1,"Este hermoso arte juntamente con la poesia, se cultivaron no tan solamente por l",Manuel de Favia; condes
Portugal,39.6621648,-8.1353519,pais,1,1,"Este hermoso arte juntamente con la poesia, se cultivaron no tan solamente por l",Manuel de Favia; condes
